Location,Homeworld,Starport,Size,Atmosphere,Hydrographics,Population,Government,Law_Level,Tech_Level,Trade_Codes,Travel_Code,Temperature,Culture,NPC_Name,Race,Sex,Age,Year_Born,STR,DEX,END,INT,EDU,SOC,Career,Job,Terms,Skills,Equipment,Cash,Debt,Pension
O2133,Atati,B,6,6,4,9,4,7,8,Hi Pr,,9,Remnant,Alnelcerman Urmililsha,Human,Female,48,5580,7,8,8,C,7,9,Scout,Survey,1,"Anglic Language 0, Carousing 1, Companion 1, Computer Training 1, Deceiving 1, Investigating 1, Jack of all Trades 0, Navigating 1, Persuading 0, Psionicology 0, Reconnaissance 1, Sculpting 1, Small Craft Piloting 1, Space Construction 0, Stealth 1, Streetwise 0, Survival Training 1, Writing 2",,Cr40000,Cr0,Cr0
F1512,Celdakrenda,B,4,5,4,2,1,0,9,Fa Lo,,6,Taboo,Krenie Engalpeldonman,Human,Female,48,5580,2,6,3,7,6,6,Drifter,Wanderer,1,"Anglic Language 0, Athletic Co-ord 0, Athletic Endurance 1, Athletic Strength 0, Computer Training 0, Deceiving 0, Grav Flying 1, Jack of all Trades 0, Knife Fighting 1, Mechanical Training 0, Medical Training 0, Reconnaissance 2, Small Craft Piloting 1, Stealth 0, Streetwise 1, Survival Training 1, Vilani Language 0",,Cr50000,Cr0,Cr0
G2217,Erchralsark,B,7,A,6,5,8,7,C,Fl Ni,,B,Remnant,Lieutenant Chrannk T. Tuson,Human,Male,50,5578,7,8,9,C,7,6,Entertainer,Performer,4,"Anglic Language 0, Autocar Driving 1, Carousing 1, Computer Training 2, Deceiving 1, Genetics 0, Gravitics 0, Holography 1, Investigating 1, Jack of all Trades 0, Reconnaissance 3, Slug Pistol 0, Slug Rifle 1, Small Craft Piloting 1, Stealth 1, Streetwise 1, Tank Driving 1, Writing 0","Scientific Equipment, 2 Ship Shares",Cr22500,Cr0,Cr0
H3218,Dreriratpimon,C,7,6,9,6,6,8,4,Ni Ri,,7,Nexus,Baronet Calthidroch Atdumon Onbrecolton of Dreriratpimon,Human,Male,48,5580,5,4,1,5,A,c,Drifter,Barbarian,0,"Administrating 0, Advocating 0, Anglic Language 0, Autocar Driving 0, Carousing 0, Chemisty 0, Companion 0, Computer Training 0, Investigating 0, Jack of all Trades 0, Knife Fighting 2, Mechanical Training 1, Persuading 1, Political Science 1, Reconnaissance 1, Stealth 2, Streetwise 1, Telecomm 1, Trading 0, Vacc Suit Training 0",Free Trader,Cr0,Cr55000,Cr0
P3134,Chretw,C,1,0,0,5,5,4,8,Ni Va,,6,Barbaric,Atsalhewinski Carwary,Human,Female,52,5576,D,4,3,A,7,8,Drifter,Wanderer,2,"Anglic Language 0, Animal Training 0, Carousing 0, Cruise Ship Helm 0, Holography 0, Jack of all Trades 4, Knife Fighting 0, Stealth 0, Streetwise 1, Survival Training 0, Telecomm 0, Vacc Suit Training 1",,Cr134000,Cr0,Cr0
D2502,Ithatn,E,3,0,0,7,7,4,8,Na Pi Va,,8,Unusual Customs: Social Standings,Sir Starm H. Drichrenkrurnk,Human,Male,49,5579,5,5,6,8,A,B,Entertainer,Journalist,1,"Anglic Language 0, Astrogating 0, Computer Training 0, Diplomacy 1, Holography 0, Jack of all Trades 0, Mechanical Training 0, Navigating 2, Persuading 1, Reconnaissance 2, Sensor Reading 4, Slug Pistol 0, Small Craft Piloting 1, Spacecraft Piloting 1, Survival Training 0, Telecomm 0, Vacc Suit Training 1",Scout Ship,Cr80000,Cr0,Cr0
M0132,Schurry,A,1,4,0,3,4,9,A,De Lo Po,A,5,Religious,Marchioness Alni Ardarlansoderrond Unalsepurpilly of Schurry,Human,Female,48,5580,4,6,5,C,6,D,Scholar,Physician,2,"Anglic Language 0, Archeology 0, Astrogating 1, Diplomacy 2, Jack of all Trades 1, Knife Fighting 1, Mechanical Training 0, Shotgun 0, Spacecraft Piloting 1, Survival Training 0, Telecomm 2, Trading 0, Vacc Suit Training 1, Veterinary 0, Xenology 1",1 Ship Share,Cr80000,Cr0,Cr0
K2422,Cartsilduson,B,6,8,4,5,2,5,7,Ag Fa Ni Pr,,7,Progressive,Colonel Kranrernor U. Stimrie,Human,Male,52,5576,5,1,8,B,B,7,Drifter,Wanderer,2,"Anglic Language 0, Athletic Co-ord 1, Athletic Endurance 1, Athletic Strength 1, Blunt Fighting 1, Computer Training 0, Deceiving 1, Energy Pistol 0, Energy Rifle 2, Fist Fighting 1, Gravitics 1, Heavy Launchers 1, Jack of all Trades 0, Leadership 2, Medical Training 0, Military Tactics 1, Mole Trucking 0, Portable Artillery 2, Reconnaissance 3, Stealth 2, Streetwise 1, Sword Fighting 1, Veterinary 0, Vilani Language 0","Armor, Armor",Cr64000,Cr0,Cr12000
I0528,Jick,C,2,0,0,9,7,8,9,Hi In Mi Na Va,,9,Unusual Customs: Nobility,Elnk Chrolton,Human,Female,49,5579,1,B,6,6,6,4,Drifter,Scavenger,1,"Anglic Language 0, Astrogating 0, Athletic Strength 0, Autocar Driving 0, Belter 0, Deceiving 1, Energy Pistol 0, Heavy Launchers 1, Jack of all Trades 1, Portable Artillery 0, Reconnaissance 2, Slug Rifle 1, Stealth 1, Streetwise 2, Survival Training 3, Sword Fighting 0, Vacc Suit Training 0",3 Ship Shares,Cr0,Cr0,Cr0
P3138,Annonor,E,5,9,A,2,2,1,4,Lo Wa,,4,Unusual Customs: Trade,Sergeant Riner Y. Eldrenle,Human,Male,50,5578,4,3,9,7,B,A,Citizen,Colonist,3,"Acting 0, Administrating 0, Anglic Language 0, Athletic Strength 0, Autocar Driving 1, Carousing 2, Deceiving 0, Energy Rifle 0, Gambling 5, Jack of all Trades 1, Reconnaissance 0, Robotics 0, Ship Screens 1, Shotgun 1, Slug Pistol 1, Stealth 0, Streetwise 1, Survival Training 1, Sword Fighting 1, Tank Driving 0","Armor, Armor, 1 Ship Share",Cr370000,Cr0,Cr0
P3132,Elman,C,0,0,0,5,5,3,B,As Ni Va,,7,Obsessed,Corporal Urpalace S. Shelt,Human,Female,52,5576,8,5,7,5,7,5,Citizen,Worker,1,"Anglic Language 0, Athletic Co-ord 0, Deceiving 1, Energy Rifle 1, Fist Fighting 0, Investigating 1, Jack of all Trades 0, Leadership 1, Mechanical Training 0, Mole Trucking 2, Persuading 1, Portable Artillery 0, Reconnaissance 0, Robotics 0, Roto Flying 1, Slug Pistol 1, Slug Rifle 1, Space Construction 1, Streetwise 2, Survival Training 1, Tank Driving 0, Vacc Suit Training 0, Zero-G Training 0",,Cr10000,Cr0,Cr0
A0610,Arerthon,A,5,5,7,4,9,9,B,Fa Ni Pa,A,6,Unusual Customs: Sex,Lt Colonel Enor Q. Elnk,Human,Female,49,5579,5,5,3,8,A,7,Army,Cavalry,5,"Advocating 0, Aero Flying 2, Anglic Language 0, Animal Farming 0, Autocar Driving 1, Carousing 0, Cruise Ship Helm 0, Economics 0, Energy Pistol 0, Energy Rifle 1, Grav Flying 1, Jack of all Trades 0, Knife Fighting 0, Leadership 1, Mechanical Training 2, Military Tactics 1, Physics 0, Reconnaissance 5, Roto Flying 1, Stealth 1, Survival Training 0",Armor,Cr20000,Cr0,Cr10000
F1313,Att,A,0,0,0,8,A,F,C,As Na Ph Pi Va,A,6,Obsessed,Salv Statsanl,Human,Male,49,5579,7,4,6,B,8,4,Rogue,Enforcer,7,"Anglic Language 0, Athletic Strength 1, Autocar Driving 1, Carousing 1, Computer Training 0, Deceiving 1, Energy Pistol 1, Energy Rifle 1, Gambling 1, Investigating 0, Jack of all Trades 0, Knife Fighting 2, Persuading 1, Reconnaissance 0, Robotics 0, Shotgun 2, Slug Pistol 0, Slug Rifle 1, Stealth 1, Streetwise 1, Sword Fighting 1, Tank Driving 0, Vacc Suit Training 0, Zero-G Training 0","Armor, Armor, 6 Ship Shares",Cr120000,Cr0,Cr0
O1840,Jerndy,D,6,B,2,3,3,2,9,Fl He Lo,,D,Unusual Customs: Technology,Drethon Ong,Human,Male,46,5582,4,5,6,9,A,5,Drifter,Barbarian,3,"Advocating 1, Anglic Language 0, Carousing 0, Companion 0, Deceiving 1, Diplomacy 2, Holography 1, Jack of all Trades 1, Knife Fighting 0, Life Support 0, Persuading 1, Sculpting 0, Streetwise 1, Survival Training 3, Telecomm 0, Vilani Language 0, Writing 0",Ancient Technology,Cr21000,Cr0,Cr0
P2833,Atropowannie,B,9,9,8,9,7,A,A,Hi In Mi,,7,Barbaric,Corporal Ilta F. Erlier,Human,Female,47,5581,6,8,6,3,4,6,Drifter,Wanderer,2,"Anglic Language 0, Athletic Co-ord 1, Belter 0, Biology 1, Computer Training 0, Energy Rifle 0, Fist Fighting 2, Investigating 0, Jack of all Trades 0, Jumping 0, Mole Trucking 0, Ortillery Gunnery 1, Reconnaissance 2, Streetwise 2, Survival Training 1, Veterinary 0",,Cr3000,Cr0,Cr0
L2730,Thelda,E,4,2,7,2,3,0,9,Lo,,5,Ritualized,Iltel Unontis,Human,Female,32,5596,5,1,3,7,5,8,Drifter,Barbarian,0,"Advocating 0, Anglic Language 0, Astrogating 1, Carousing 0, Dancing 0, Energy Pistol 0, Jack of all Trades 0, Mechanical Training 2, Ship Screens 0, Spacecraft Piloting 1, Stealth 1, Vacc Suit Training 0, Zero-G Training 0",,Cr20000,Cr0,Cr0
K2325,Olursurnson,A,7,A,6,7,4,7,8,Fl,,5,Obsessed,Baronetess Urko Itinas Teti of Olursurnson,Human,Female,53,5575,6,5,2,D,8,c,Navy,Line/Crew,6,"Administrating 1, Anglic Language 0, Astrogating 0, Athletic Co-ord 1, Capital Ship Helm 1, Carousing 0, Diplomacy 1, Energy 0, Energy Rifle 0, Jack of all Trades 0, Knife Fighting 1, Leadership 1, Mechanical Training 1, Naval Tactics 1, Sculpting 0, Spacecraft Piloting 0, Survival Training 0, Telecomm 0, Vacc Suit Training 1, Xenology 0, Zero-G Training 2","TAS Membership, TAS Membership, TAS Membership, Ship's Boat, Ship's Boat",Cr60000,Cr0,Cr12000
C2305,Relnk,C,D,A,6,1,4,3,9,Fl Lo,A,C,Progressive,Delko Bimchrisurtus,Human,Male,50,5578,5,6,4,6,4,6,Scout,Courier,5,"Advocating 0, Aero Flying 1, Anglic Language 0, Astrogating 1, Athletic Strength 0, Blunt Fighting 0, Computer Training 0, Energy Pistol 0, Energy Rifle 1, Heavy Launchers 0, Jack of all Trades 1, Mechanical Training 0, Mole Trucking 0, Navigating 1, Psionicology 1, Reconnaissance 0, Small Craft Piloting 1, Survival Training 1, Vacc Suit Training 1",Scout Ship,Cr100000,Cr0,Cr0
K1825,Ohonshoshaly,E,4,5,6,9,9,A,6,Hi,,7,Taboo,Elthalmer Lillmes,Human,Female,51,5577,1,1,1,7,8,7,Drifter,Barbarian,2,"Administrating 0, Anglic Language 0, Athletic Co-ord 0, Athletic Endurance 0, Carousing 2, Deceiving 0, Jack of all Trades 1, Jumping 0, Knife Fighting 1, Medical Training 0, Reconnaissance 2, Stealth 2, Streetwise 1, Survival Training 3",,Cr0,Cr104000,Cr0
I0723,Durlo,C,7,5,6,7,5,1,9,Ag Ga,,8,Deceptive,Lt Colonel Ida A. Genirk,Human,Female,51,5577,6,4,8,4,F,6,Marines,Support,6,"Administrating 1, Advocating 2, Anglic Language 0, Animal Riding 0, Autocar Driving 0, Battle Suit Training 1, Biology 0, Computer Training 0, Diplomacy 0, Energy Pistol 1, Energy Rifle 1, Gambling 2, Jack of all Trades 0, Leadership 3, Medical Training 1, Military Tactics 1, Naval Tactics 1, Portable Artillery 0, Roto Flying 1, Shotgun 1, Space Construction 1, Survival Training 1, Telecomm 1, Trading 0, Vilani Language 0",3 Ship Shares,Cr85000,Cr0,Cr12000
C2101,Ohalhn,B,5,1,0,1,2,3,B,Lo,,8,Unusual Custom: Conspiracy,Ranler Datv,Human,Male,47,5581,6,2,6,2,6,4,Drifter,Barbarian,0,"Advocating 0, Anglic Language 0, Astrogating 0, Fist Fighting 2, Jack of all Trades 0, Jumpspace 0, Mechanical Training 0, Reconnaissance 0, Sensor Reading 1, Shotgun 1, Slug Pistol 0, Slug Rifle 0, Small Craft Piloting 0, Stealth 0, Streetwise 1, Survival Training 0, Tank Driving 0, Telecomm 0, Vacc Suit Training 2, Veterinary 0",,Cr30000,Cr0,Cr0
G2413,Enalni,C,7,4,7,2,0,3,6,Fa Lo,,7,Unusual Customs: Sex,Etenzellarck Onmon,Human,Female,50,5578,5,5,7,G,B,9,Scout,Courier,8,"Anglic Language 0, Astrogating 1, Civil Construction 0, Gravitics 0, Jack of all Trades 0, Mechanical Training 0, Navigating 1, Physics 0, Slug Rifle 0, Small Craft Piloting 1, Spacecraft Piloting 1, Survival Training 0, Telecomm 0, Vacc Suit Training 1","Scout Ship, Scout Ship, Scout Ship, Scout Ship",Cr120000,Cr0,Cr0
P3038,Onor,E,7,8,6,9,D,C,6,Ga Hi Pr,,C,Obsessed,Enkranth Ergarc,Human,Female,46,5582,7,A,6,8,6,8,Scholar,Field Researcher,4,"Acting 1, Advocating 1, Anglic Language 0, Animal Training 0, Autocar Driving 1, Carousing 0, Companion 2, Deceiving 1, Diplomacy 2, Holography 1, Investigating 1, Jack of all Trades 0, Medical Training 2, Persuading 1, Roto Flying 1, Sculpting 0, Streetwise 0, Telecomm 1","Scientific Equipment, 2 Ship Shares",Cr95000,Cr0,Cr0
N1336,Ennaporlie,D,9,B,6,7,B,F,9,Fl,,F,Deceptive,Lieutenant Datm O. Malam,Human,Male,45,5583,A,2,3,8,8,9,Drifter,Scavenger,0,"Anglic Language 0, Astrogating 0, Athletic Co-ord 1, Athletic Strength 1, Computer Training 0, Energy Pistol 1, Investigating 0, Jack of all Trades 1, Jumping 1, Reconnaissance 0, Small Craft Piloting 1, Streetwise 1, Tank Driving 0, Vacc Suit Training 0, Vilani Language 0",,Cr3000,Cr0,Cr0
A0308,Krojimchrilm,C,5,9,8,8,7,8,7,Pa Ph Pi,,8,Unusual Custom: Conspiracy,Lady Randy W. Man,Human,Female,52,5576,6,6,2,B,6,B,Entertainer,Journalist,4,"Anglic Language 0, Astrogating 0, Autocar Driving 1, Chemisty 0, Computer Training 1, Electronics 0, Energy Rifle 0, Investigating 3, Jack of all Trades 0, Leadership 2, Mechanical Training 0, Medical Training 2, Military Tactics 1, Persuading 0, Political Science 0, Reconnaissance 1, Shotgun 1, Small Craft Piloting 1, Stealth 1, Streetwise 1, Telecomm 2, Vacc Suit Training 0, Writing 1, Zero-G Training 0","Armor, Armor, 2 Ship Shares",Cr15000,Cr0,Cr0
O2440,Manjonhn,X,8,5,4,9,B,D,1,Hi,,8,Unusual Custom: Offworlders,Lance Corporal Onchrod K. Chenstenshi,Human,Male,48,5580,7,1,1,3,7,8,Drifter,Wanderer,0,"Administrating 0, Anglic Language 0, Athletic Co-ord 0, Athletic Strength 0, Battle Suit Training 1, Energy Pistol 1, Energy Rifle 1, Field Artillery 1, Jack of all Trades 0, Jumping 0, Knife Fighting 0, Military Tactics 1, Naval Tactics 0, Physics 0, Portable Artillery 0, Roto Flying 1, Shotgun 0, Slug Pistol 1, Slug Rifle 1, Stealth 0, Streetwise 1, Survival Training 1, Veterinary 0",,Cr0,Cr26000,Cr0
O2031,Welnsalkrominas,C,5,0,0,6,6,4,8,Na Ni Va,,9,Unusual Customs: Trade,Nandranry Ehalnenlanlier,Human,Male,46,5582,9,2,2,A,8,3,Drifter,Scavenger,0,"Administrating 0, Anglic Language 0, Animal Training 0, Astrogating 0, Athletic Endurance 0, Autocar Driving 1, Civil Construction 0, Companion 1, Electronics 1, Gambling 1, Jack of all Trades 0, Mechanical Training 0, Persuading 0, Reconnaissance 0, Slug Pistol 1, Stealth 0, Survival Training 0, Sword Fighting 2, Vacc Suit Training 0, Zero-G Training 1",,Cr210000,Cr0,Cr0
E0816,Atner,A,5,6,7,1,4,3,9,Cp Lo,,A,Unusual Customs: Nobility,Edarnston Onnakurson,Human,Female,47,5581,2,6,4,C,9,7,Rogue,Thief,6,"Anglic Language 0, Astrogating 0, Athletic Co-ord 1, Biology 0, Computer Training 2, Dancing 0, Energy Rifle 0, Gambling 3, Jack of all Trades 1, Knife Fighting 1, Life Support 0, Mechanical Training 0, Shotgun 1, Slug Pistol 0, Small Craft Piloting 0, Stealth 2, Streetwise 3, Survival Training 0, Telecomm 0, Xenology 0","Armor, Armor, 4 Ship Shares",Cr0,Cr0,Cr0
C2006,Shudribajatoltet,D,3,5,1,2,4,6,6,Lo Po,,8,Degenerate,Field Agent Elnski X. Batlynn,Human,Female,52,5576,4,1,1,9,5,5,Agent,Corporate,4,"Anglic Language 0, Animal Farming 0, Athletic Co-ord 1, Athletic Endurance 0, Athletic Strength 1, Autocar Driving 0, Blunt Fighting 0, Computer Training 2, Deceiving 1, Energy Rifle 0, Field Artillery 1, Fist Fighting 1, Investigating 1, Jack of all Trades 0, Leadership 1, Portable Artillery 1, Reconnaissance 3, Slug Pistol 1, Slug Rifle 1, Streetwise 2, Sword Fighting 1, Tank Driving 1","Armor, Armor, 1 Ship Share",Cr0,Cr36500,Cr0
G2217,Atsonltenmen,B,3,6,8,0,3,2,8,,,7,Recovering,Sergeant Kurdred O. Alnanthannk,Human,Male,46,5582,4,D,C,3,7,7,Drifter,Wanderer,2,"Administrating 0, Anglic Language 0, Athletic Strength 0, Blunt Fighting 2, Capital Weapons 1, Deceiving 0, Energy Pistol 1, Gambling 1, Jack of all Trades 0, Jumping 1, Mechanical Training 1, Ortillery Gunnery 1, Reconnaissance 0, Shotgun 1, Small Craft Piloting 1, Stealth 0, Streetwise 2, Sword Fighting 1, Telecomm 0, Vilani Language 0","Armor, Armor, 1 Ship Share",Cr2000,Cr0,Cr0
B1009,Kaza,C,8,6,3,6,8,C,8,Ni Ri,A,7,Unusual Custom: Conspiracy,4th Officer Atlsandratlace Q. Ensherrlie,Human,Female,51,5577,1,1,1,9,7,7,Merchants,Merchant Marine,4,"Acting 0, Administrating 2, Advocating 1, Anglic Language 0, Carousing 1, Companion 0, Computer Science 0, Computer Training 1, Deceiving 1, Electronics 0, Hydroponics 1, Investigating 1, Jack of all Trades 0, Mechanical Training 1, Medical Training 2, Musical Training 1, Persuading 0, Remote Operating 1, Spacecraft Piloting 1, Stealth 1, Tank Driving 1, Telecomm 1, Vacc Suit Training 0, Writing 1",4 Ship Shares,Cr0,Cr18000,Cr0
H2517,Delrlie,A,9,A,6,6,9,A,A,Cp Fl Ni,A,8,Unusual Custom: Offworlders,Sir Stovannk Y. Drurly,Human,Male,46,5582,8,1,3,9,5,B,Merchants,Merchant Marine,0,"Anglic Language 0, Companion 0, Computer Training 1, Cybernetics 2, Diplomacy 0, History 1, Investigating 1, Jack of all Trades 0, Medical Training 1, Psionicology 2, Sensor Reading 1, Ship Screens 1, Survival Training 1, Telecomm 1, Vacc Suit Training 1, Zdetl Language 1",Scientific Equipment,Cr45000,Cr0,Cr10000
O1732,Ike,B,7,9,8,4,6,1,A,Fa Ni Pa,,A,Unusual Customs: Trade,Field Agent Ilcheny W. Ergalmes,Human,Female,49,5579,2,6,A,A,7,8,Drifter,Wanderer,2,"Anglic Language 0, Athletic Endurance 1, Computer Training 0, Deceiving 1, Fist Fighting 1, Investigating 2, Jack of all Trades 1, Jumping 0, Persuading 1, Psionicology 0, Reconnaissance 1, Slug Pistol 0, Stealth 1, Streetwise 2, Survival Training 0, Tank Driving 0, Telecomm 1","Scientific Equipment, 1 Ship Share",Cr0,Cr94000,Cr0
O1732,Brarnor,B,5,A,6,9,5,5,E,Fl Hi In Mi,,9,Unusual Customs: Travel,3rd Officer Alsilthad P. Goly,Human,Female,48,5580,7,7,7,9,7,7,Merchants,Merchant Marine,4,"Anglic Language 0, Capital Ship Helm 2, Carousing 1, Civil Construction 0, Companion 0, Dancing 1, Deceiving 0, Gravitics 0, Investigating 1, Jack of all Trades 0, Mechanical Training 3, Musical Training 1, Persuading 0, Spacecraft Piloting 1, Streetwise 1, Trading 0, Turret Gunnery 1, Vacc Suit Training 2, Writing 0",2 Ship Shares,Cr25000,Cr0,Cr0
C2207,Ishimnor,C,6,4,1,7,3,3,7,He Pi Po,,4,Unusual Custom: Conspiracy,Lance Corporal Atbalketta K. Etserchranlo,Human,Female,52,5576,4,4,4,4,8,5,Marines,Support,3,"Anglic Language 0, Animal Training 0, Athletic Co-ord 1, Battle Suit Training 0, Belter 0, Carousing 0, Companion 0, Deceiving 3, Energy Rifle 1, Jack of all Trades 1, Jumping 1, Leadership 1, Medical Training 1, Mole Trucking 1, Persuading 0, Philosophy 0, Reconnaissance 0, Shotgun 1, Slug Rifle 2, Streetwise 0, Tank Driving 1, Writing 0",,Cr12000,Cr0,Cr0
L2630,Canselrerw,C,3,3,3,9,6,4,9,Hi Na Po,,3,Conservative,Shaleda Stekrenlsotanner,Human,Female,45,5583,1,1,1,8,5,9,Drifter,Barbarian,1,"Administrating 1, Anglic Language 0, Animal Riding 0, Athletic Co-ord 0, Carousing 0, Cruise Ship Helm 1, Energy Rifle 1, Field Artillery 1, Fist Fighting 0, Jack of all Trades 0, Knife Fighting 0, Leadership 1, Mole Trucking 0, Motorboat Helm 1, Portable Artillery 0, Reconnaissance 0, Slug Rifle 0, Small Craft Piloting 1, Stealth 1, Streetwise 0, Survival Training 1",,Cr0,Cr76000,Cr0
