Location,Homeworld,Starport,Size,Atmosphere,Hydrographics,Population,Government,Law_Level,Tech_Level,Trade_Codes,Travel_Code,Temperature,Culture,NPC_Name,Race,Sex,Age,Year_Born,STR,DEX,END,INT,EDU,SOC,Career,Job,Terms,Skills,Equipment,Cash,Debt,Pension
M0338,Odolynn,E,7,5,6,2,3,7,2,Fa Ga Lo,,A,Obsessed,Commander Chence Y. Namon,Human,Male,54,5574,5,5,1,D,8,9,Navy,Line/Crew,5,"Administrating 1, Advocating 0, Anglic Language 0, Animal Riding 0, Athletic Strength 0, Capital Weapons 0, Carousing 1, Computer Training 1, Deceiving 2, Energy Rifle 1, Gambling 1, Jack of all Trades 0, Knife Fighting 2, Leadership 4, Naval Tactics 2, Persuading 1, Reconnaissance 0, Shotgun 0, Spacecraft Piloting 1, Stealth 1, Streetwise 0, Tank Driving 0, Zero-G Training 1","Armor, TAS Membership, 1 Ship Share",Cr105000,Cr0,Cr10000
I0322,Atdraralynn,B,2,3,5,7,2,3,C,,,4,Xenophobic,Ondatnurk Wonchriza,Human,Male,57,5571,4,2,2,B,B,7,Merchants,Trader,3,"Administrating 0, Advocating 1, Anglic Language 0, Astrogating 0, Autocar Driving 0, Biology 1, Chemisty 0, Computer Training 0, Diplomacy 1, History 0, Jack of all Trades 2, Mechanical Training 0, Medical Training 1, Navigating 1, Persuading 1, Shotgun 1, Slug Rifle 0, Small Craft Piloting 1, Spacecraft Piloting 1, Streetwise 2, Survival Training 1, Telecomm 1, Trading 1, Vacc Suit Training 1","Scout Ship, Scout Ship, Free Trader",Cr112000,Cr0,Cr0
K2129,Nonn,A,6,6,A,7,A,7,B,Ri Wa,,4,Fusion,4th Officer Imkratrk O. Arnstersa,Human,Female,55,5573,1,5,2,4,8,4,Drifter,Barbarian,2,"Administrating 1, Anglic Language 0, Capital Weapons 1, Carousing 1, Companion 0, Computer Science 0, Computer Training 0, Diplomacy 1, Gravitics 1, Jack of all Trades 0, Knife Fighting 1, Linguistics 1, Mechanical Training 2, Persuading 0, Spacecraft Piloting 1, Stealth 0, Survival Training 2, Tank Driving 0, Telecomm 0, Trading 0, Vacc Suit Training 1, Zero-G Training 3","Free Trader, Free Trader",Cr33000,Cr0,Cr10000
O2437,Elstimon,B,0,0,0,7,5,6,A,As Na Pi Va,,3,Religious,Sublieutenant Malth C. Athn,Human,Male,56,5572,2,2,2,B,7,6,Scout,Exploration,0,"Anglic Language 0, Astrogating 1, Carousing 0, Companion 0, Deceiving 0, Electronics 0, Genetics 1, Holography 1, Jack of all Trades 0, Knife Fighting 1, Leadership 1, Mechanical Training 1, Musical Training 0, Persuading 1, Sculpting 2, Sensor Reading 1, Shotgun 1, Slug Rifle 1, Small Craft Piloting 1, Spacecraft Piloting 0, Sword Fighting 1, Telecomm 5, Vacc Suit Training 1, Zero-G Training 0",Air/Raft,Cr35000,Cr0,Cr0
E0614,Atsatltalni,C,5,8,3,9,6,8,9,Hi Pr,,8,Unusual Customs: Nobility,Captain Nalnston Y. Allus,Human,Male,50,5578,1,2,1,3,5,7,Drifter,Scavenger,1,"Administrating 1, Anglic Language 0, Astrogating 2, Blunt Fighting 0, Energy Pistol 0, Energy Rifle 0, Jack of all Trades 0, Leadership 2, Mechanical Training 0, Military Tactics 1, Slug Pistol 1, Slug Rifle 1, Small Craft Piloting 0, Spacecraft Piloting 0, Stealth 1, Streetwise 0, Telecomm 0, Turret Gunnery 0, Vacc Suit Training 0, Zero-G Training 2",,Cr0,Cr195000,Cr0
N1234,Zurson,A,0,0,0,3,1,0,D,As Cp Lo Va,,4,Deceptive,Eniman Errlernsaljilli,Human,Female,54,5574,2,2,5,4,3,5,Scout,Courier,3,"Anglic Language 0, Astrogating 1, Athletic Co-ord 1, Athletic Strength 0, Computer Training 0, Cruise Ship Helm 0, Deceiving 1, Investigating 0, Jack of all Trades 0, Jumping 1, Knife Fighting 1, Reconnaissance 2, Shotgun 0, Slug Pistol 1, Slug Rifle 1, Stealth 2, Streetwise 1, Survival Training 1, Tank Driving 0, Telecomm 1, Vacc Suit Training 0, Zero-G Training 0",Corsair,Cr51000,Cr0,Cr0
M0631,Elalie,C,0,0,0,6,2,3,8,As Na Ni Va,,A,Unusual Customs: Travel,Jany Arkretmon,Human,Male,51,5577,7,3,1,6,4,7,Drifter,Barbarian,0,"Anglic Language 0, Astrogating 0, Athletic Co-ord 0, Carousing 0, Computer Training 2, Deceiving 0, Jack of all Trades 3, Mechanical Training 1, Medical Training 0, Shotgun 0, Small Craft Piloting 2, Stealth 2, Tank Driving 1, Telecomm 0, Vacc Suit Training 1, Zero-G Training 0",,Cr0,Cr37000,Cr0
N1436,Erler,B,5,2,0,1,1,1,C,De He Lo Po,,9,Progressive,Sublieutenant Arsharda H. Elrk,Human,Female,51,5577,4,5,A,8,6,9,Navy,Engineering/Gunnery,2,"Administrating 0, Advocating 0, Anglic Language 0, Animal Riding 0, Carousing 1, Computer Training 0, Diplomacy 0, Energy Pistol 1, Energy Rifle 0, Jack of all Trades 0, Knife Fighting 1, Leadership 1, Life Support 1, Military Tactics 2, Naval Tactics 1, Ortillery Gunnery 2, Sensor Reading 1, Slug Pistol 1, Small Craft Piloting 1, Stealth 2, Streetwise 1, Survival Training 0, Trading 0, Zero-G Training 0",Armor,Cr215000,Cr0,Cr0
C1907,Ants,D,4,6,8,6,4,4,4,Ag Fa Ni Ri,,6,Honorable,Baronet Oson Elsannor Erkreti of Ants,Human,Male,52,5576,4,5,5,7,7,c,Marines,Star Marines,2,"Acting 0, Administrating 1, Advocating 2, Anglic Language 0, Capital Weapons 1, Carousing 0, Companion 0, Computer Training 1, Dancing 0, Deceiving 0, Energy Pistol 1, Energy Rifle 1, History 0, Investigating 1, Jack of all Trades 0, Jumping 1, Leadership 1, Military Tactics 1, Naval Tactics 0, Persuading 1, Reconnaissance 1, Shotgun 1, Space Construction 1, Stealth 2, Streetwise 1, Veterinary 0",2 Ship Shares,Cr6000,Cr0,Cr0
O2138,Ennie,E,5,6,9,9,4,0,9,Hi Pr,A,4,Violent,Corporal Koscaldy F. Mishen,Human,Male,55,5573,6,B,A,9,7,8,Drifter,Barbarian,5,"Anglic Language 0, Athletic Endurance 0, Battle Suit Training 1, Energy Rifle 1, Gambling 1, Heavy Launchers 0, Jack of all Trades 4, Knife Fighting 3, Military Tactics 1, Mole Trucking 0, Slug Pistol 0, Stealth 0, Streetwise 1, Survival Training 1, Tank Driving 0",1 Ship Share,Cr19000,Cr0,Cr0
A0206,Etpancanmon,E,4,3,6,8,8,A,5,Ph,,4,Artistic,Sergeant Anromigititi S. Kett,Human,Female,57,5571,9,1,B,8,5,6,Agent,Law Enforcement,3,"Anglic Language 0, Blunt Fighting 1, Carousing 1, Companion 0, Computer Training 1, Deceiving 0, Energy Pistol 1, Investigating 2, Jack of all Trades 0, Knife Fighting 0, Musical Training 0, Persuading 0, Reconnaissance 4, Robotics 0, Shotgun 0, Stealth 3, Streetwise 1","TAS Membership, Scientific Equipment, 3 Ship Shares",Cr20000,Cr0,Cr0
G2120,Anmese,D,5,8,A,4,9,7,8,Ni Wa,,B,Unusual Custom: Offworlders,Lady Upihn M. Shery,Human,Female,52,5576,3,3,1,B,5,B,Drifter,Wanderer,0,"Anglic Language 0, Athletic Strength 0, Autocar Driving 0, Carousing 0, Civil Construction 0, Cruise Ship Helm 1, Deceiving 2, Energy 0, Jack of all Trades 0, Jumping 0, Mechanical Training 0, Ortillery Gunnery 0, Reconnaissance 1, Sensor Reading 1, Shotgun 1, Slug Pistol 0, Small Craft Piloting 1, Stealth 1, Streetwise 2, Survival Training 1, Vacc Suit Training 0, Veterinary 0, Zero-G Training 0",,Cr0,Cr69000,Cr0
M0439,Alck,E,1,2,0,8,6,5,7,De Na Ph Pi Po,,5,Deceptive,Corporal Ennston R. Anlo,Human,Female,56,5572,4,2,4,A,7,7,Drifter,Barbarian,1,"Anglic Language 0, Animal Training 0, Astrogating 0, Athletic Endurance 1, Carousing 0, Deceiving 2, Diplomacy 1, Energy Pistol 0, Energy Rifle 1, Gambling 1, Jack of all Trades 0, Jumping 0, Mechanical Training 1, Medical Training 2, Persuading 1, Reconnaissance 0, Stealth 0, Streetwise 2, Survival Training 0, Tank Driving 0, Telecomm 1, Vacc Suit Training 1","Corsair, 1 Ship Share",Cr102000,Cr0,Cr0
P2838,Retserrie,C,6,5,2,8,A,6,5,Ph Po,,6,Unusual Customs: Nobility,Inatlalnor Nagany,Human,Female,52,5576,6,9,4,5,6,A,Drifter,Scavenger,4,"Anglic Language 0, Animal Riding 0, Astrogating 4, Companion 0, Jack of all Trades 0, Jumping 1, Mechanical Training 2, Mole Trucking 0, Ortillery Gunnery 1, Persuading 0, Slug Pistol 0, Small Craft Piloting 1, Streetwise 1, Telecomm 0, Trading 0, Turret Gunnery 1, Vacc Suit Training 3, Veterinary 1, Zero-G Training 1",Free Trader,Cr3000,Cr0,Cr0
N1238,Ilonn,A,3,0,0,8,B,E,C,Na Ph Pi Va,,6,Unusual Custom: Starport,Detective Elchrarman I. Kendink,Human,Female,53,5575,A,3,8,8,8,3,Drifter,Wanderer,0,"Advocating 1, Anglic Language 0, Athletic Endurance 0, Athletic Strength 1, Autocar Driving 0, Blunt Fighting 1, Computer Training 0, Deceiving 1, Investigating 1, Jack of all Trades 0, Jumping 0, Reconnaissance 1, Remote Operating 1, Shotgun 1, Slug Pistol 1, Slug Rifle 0, Stealth 2, Streetwise 2, Telecomm 0, Vacc Suit Training 0",,Cr10500,Cr0,Cr0
F1618,Kratrc,C,3,2,2,4,1,0,6,He Ni Po,A,4,Violent,Dretponi Ald,Human,Female,20,5608,7,9,8,6,9,5,Citizen,,0,"Acting 0, Anglic Language 0, Animal Training 0, Biology 0, Jack of all Trades 0, Telecomm 0",,Cr0,Cr0,Cr0
K1926,Om,C,4,2,5,4,5,7,B,Px Ni,,7,Remnant,Lance Corporal Annonrt K. Kerner,Human,Female,50,5578,1,6,9,8,6,7,Drifter,Scavenger,3,"Anglic Language 0, Astrogating 2, Athletic Endurance 0, Athletic Strength 1, Battle Suit Training 0, Blunt Fighting 0, Computer Science 0, Energy Pistol 0, Field Artillery 0, Fist Fighting 1, Gambling 1, Jack of all Trades 0, Knife Fighting 1, Leadership 1, Mechanical Training 1, Military Tactics 1, Mole Trucking 0, Planetology 0, Reconnaissance 1, Slug Pistol 1, Slug Rifle 1, Streetwise 2, Vacc Suit Training 2",,Cr0,Cr8000,Cr0
J1529,Anmikririe,C,8,8,A,5,2,0,8,Ni Pr Wa,,7,Unusual Customs: Travel,Lady Tonndy P. Chrebegilo,Human,Female,51,5577,2,2,1,6,6,B,Drifter,Wanderer,0,"Acting 0, Anglic Language 0, Carousing 1, Companion 0, Deceiving 0, Gravitics 0, Jack of all Trades 0, Knife Fighting 0, Leadership 3, Mechanical Training 0, Medical Training 0, Naval Tactics 1, Navigating 1, Persuading 0, Sculpting 0, Slug Pistol 1, Slug Rifle 1, Streetwise 0, Survival Training 2",Armor,Cr10000,Cr0,Cr0
M0835,Epathn,E,9,E,6,4,5,7,7,Ni,A,6,Honorable,Harnson Enpotsatwolo,Human,Male,50,5578,4,C,5,8,6,4,Drifter,Barbarian,0,"Anglic Language 1, Autocar Driving 0, Carousing 1, Companion 0, Diplomacy 1, Investigating 1, Jack of all Trades 0, Mechanical Training 0, Mole Trucking 0, Persuading 0, Stealth 0, Tank Driving 0, Telecomm 0, Trading 0, Vacc Suit Training 1, Xenology 0, Zero-G Training 0",1 Ship Share,Cr0,Cr0,Cr0
D2808,Honson,D,9,9,9,1,4,7,7,Lo,,7,At War,Sir Salthon K. Cenrly,Human,Male,52,5576,1,4,2,2,5,B,Drifter,Wanderer,0,"Administrating 0, Anglic Language 0, Animal Training 0, Athletic Co-ord 1, Athletic Strength 1, Deceiving 0, Energy Rifle 1, Fist Fighting 1, Heavy Launchers 0, Jack of all Trades 0, Jumping 0, Mole Trucking 1, Psionicology 0, Reconnaissance 1, Shotgun 0, Slug Rifle 1, Stealth 1, Streetwise 1, Survival Training 1, Vacc Suit Training 0",,Cr0,Cr56000,Cr0
L2723,Enchrondranyan,C,3,8,4,8,9,A,9,Pa Ph Ri,A,B,Unusual Custom: Offworlders,Captain Gwurvink O. Silie,Human,Female,55,5573,A,A,8,3,8,5,Drifter,Wanderer,3,"Anglic Language 0, Athletic Co-ord 2, Biology 1, Computer Training 0, Diplomacy 1, Field Artillery 0, Investigating 0, Jack of all Trades 0, Jumping 0, Leadership 1, Military Tactics 2, Mole Trucking 0, Planetology 0, Reconnaissance 3, Shotgun 1, Slug Rifle 1, Streetwise 1, Survival Training 2, Telecomm 0",2 Ship Shares,Cr0,Cr0,Cr0
D3104,Urny,E,8,6,1,2,0,2,6,Lo,,9,Fashion,Hinas Jalrk,Human,Male,19,5609,6,6,7,9,5,2,Citizen,,0,"Administrating 0, Anglic Language 0, Computer Training 0, Jack of all Trades 0",,Cr0,Cr0,Cr0
I0828,Elthilrt,C,1,1,0,3,7,A,C,Lo,,A,Conservative,Agent Shonson J. Elnk,Human,Male,50,5578,A,1,B,4,8,7,Drifter,Scavenger,0,"Anglic Language 0, Athletic Endurance 1, Carousing 2, Companion 0, Computer Science 0, Computer Training 1, Dancing 0, Deceiving 1, Energy Pistol 0, Energy Rifle 1, Gambling 1, Hydroponics 0, Investigating 1, Jack of all Trades 0, Mole Trucking 1, Persuading 0, Philosophy 0, Reconnaissance 0, Small Craft Piloting 1, Streetwise 1, Telecomm 0, Writing 0",Scientific Equipment,Cr0,Cr15000,Cr0
O2032,Sunk,E,3,4,5,9,9,A,5,Hi In Mi,,9,Artistic,Onth Bihn,Human,Male,52,5576,1,1,2,E,9,5,Drifter,Wanderer,0,"Administrating 1, Anglic Language 0, Athletic Endurance 1, Capital Ship Helm 0, Civil Construction 0, Computer Training 0, Energy Rifle 0, Genetics 0, Hydroponics 1, Jack of all Trades 1, Jumping 0, Mechanical Training 1, Political Science 0, Reconnaissance 0, Remote Operating 3, Slug Rifle 0, Streetwise 1, Turret Gunnery 0, Vacc Suit Training 0, Zero-G Training 0",Alien Artifact,Cr0,Cr82000,Cr0
D2508,Irie,C,3,3,1,7,8,A,6,Na Po,,9,Remnant,Lance Corporal Hody K. Argilpimkrat,Human,Male,55,5573,1,2,4,A,8,6,Army,Infantry,2,"Administrating 1, Anglic Language 0, Animal Riding 0, Blunt Fighting 1, Computer Training 1, Diplomacy 0, Genetics 2, History 1, Investigating 2, Jack of all Trades 0, Knife Fighting 1, Medical Training 1, Military Tactics 1, Philosophy 0, Portable Artillery 1, Reconnaissance 1, Shotgun 0, Slug Rifle 1, Streetwise 2, Telecomm 3","Lab Ship, Lab Ship, Scientific Equipment, Lab Ship",Cr102000,Cr0,Cr12000
N1239,Onyan,B,5,5,4,8,8,4,A,Pa Ph,,3,Xenophobic,2nd Officer Isattherw F. Rimd,Human,Female,54,5574,3,B,5,9,8,5,Merchants,Merchant Marine,4,"Advocating 0, Anglic Language 0, Chemisty 0, Companion 1, Computer Training 1, Gravitics 2, Jack of all Trades 0, Jumpspace 1, Life Support 2, Mechanical Training 5, Sensor Reading 2, Slug Rifle 0, Small Craft Piloting 0, Spacecraft Piloting 1, Tank Driving 0, Trading 1, Turret Gunnery 1, Vacc Suit Training 2, Zero-G Training 2","Free Trader, Free Trader",Cr151000,Cr0,Cr0
P2936,Emareltatck,A,4,7,7,7,9,8,D,Ag Cp Pi,,7,Unusual Customs: Sex,Captain Ellunseni M. Ibard,Human,Female,54,5574,5,6,4,5,B,6,Marines,Star Marines,4,"Anglic Language 0, Astrogating 0, Athletic Strength 1, Battle Suit Training 2, Electronics 0, Energy Pistol 2, Heavy Launchers 0, Jack of all Trades 1, Leadership 2, Life Support 2, Mechanical Training 1, Medical Training 0, Shotgun 1, Slug Rifle 1, Small Craft Piloting 0, Stealth 1, Telecomm 1, Vacc Suit Training 4, Veterinary 0, Zero-G Training 0","Armor, 1 Ship Share",Cr156000,Cr0,Cr0
I0130,Enlam,E,7,8,A,7,4,0,5,Ri Wa,A,4,Unusual Customs: Technology,Elmon Thelnter,Human,Female,56,5572,4,7,A,C,D,4,Scout,Exploration,10,"Administrating 0, Anglic Language 0, Astrogating 0, Capital Ship Helm 1, Computer Training 4, Jack of all Trades 2, Mechanical Training 2, Medical Training 1, Navigating 2, Planetology 1, Psychology 0, Reconnaissance 1, Shotgun 1, Slug Rifle 0, Small Craft Piloting 1, Spacecraft Piloting 2, Stealth 1, Survival Training 0, Telecomm 0, Vacc Suit Training 1, Vilani Language 0","Scout Ship, Scout Ship, Scout Ship",Cr120000,Cr0,Cr0
M0838,Stetrt,B,5,6,3,2,2,0,9,Lo,,4,Barbaric,Benlmes Allace,Human,Male,55,5573,B,1,C,A,8,9,Scholar,Scientist,7,"Administrating 3, Anglic Language 0, Astrogating 0, Computer Training 3, Electronics 1, Energy 1, Energy Pistol 0, Energy Rifle 0, Investigating 1, Jack of all Trades 1, Mechanical Training 0, Physics 1, Planetology 1, Sculpting 0, Sensor Reading 1, Small Craft Piloting 0, Telecomm 2, Vacc Suit Training 0, Zero-G Training 0","Lab Ship, Lab Ship, Lab Ship, Lab Ship, 2 Ship Shares",Cr260000,Cr0,Cr14000
N1435,Onaltemon,A,0,0,0,E,F,H,E,As Cp Hi In Na Va,A,A,Tourist Attraction,Lance Corporal Thosatrenla F. Ersa,Human,Female,55,5573,2,4,2,8,8,9,Marines,Star Marines,1,"Administrating 1, Anglic Language 0, Animal Riding 1, Autocar Driving 0, Bionetics 0, Companion 0, Energy Pistol 0, Field Artillery 0, Fist Fighting 1, Gambling 1, Jack of all Trades 0, Persuading 0, Sensor Reading 1, Shotgun 1, Slug Pistol 1, Spacecraft Piloting 3, Streetwise 0, Telecomm 2, Trading 0, Vacc Suit Training 1, Zero-G Training 1",Scout Ship,Cr140000,Cr0,Cr0
D2605,Atner,E,3,6,5,2,2,5,5,Fa Lo,,4,Obsessed,Captain Wonk I. Okirk,Human,Male,57,5571,6,B,7,8,3,7,Rogue,Pirate,7,"Administrating 0, Anglic Language 0, Autocar Driving 1, Capital Ship Helm 1, Deceiving 3, Energy Rifle 1, Gambling 1, Jack of all Trades 0, Jumping 2, Knife Fighting 1, Mole Trucking 0, Navigating 1, Reconnaissance 4, Shotgun 1, Slug Pistol 1, Stealth 2, Streetwise 1, Survival Training 0, Vacc Suit Training 0","Corsair, Armor, 4 Ship Shares",Cr150000,Cr0,Cr0
C2409,Elgimkehn,A,1,0,0,6,8,9,F,Na Ni Va,A,7,Peaceful,Iman Kello,Human,Female,51,5577,1,2,2,9,8,7,Drifter,Scavenger,0,"Anglic Language 0, Animal Riding 1, Astrogating 1, Athletic Endurance 0, Athletic Strength 0, Companion 1, Energy Pistol 0, Energy Rifle 1, Jack of all Trades 1, Jumping 1, Mechanical Training 1, Medical Training 0, Reconnaissance 0, Shotgun 0, Small Craft Piloting 2, Stealth 0, Streetwise 1, Survival Training 1, Tank Driving 0, Vacc Suit Training 1","Scout Ship, Scout Ship",Cr0,Cr86000,Cr0
L2721,Tettit,B,3,0,0,6,3,4,B,Na Ni Va,,4,Unusual Customs: Sex,4th Officer Chriln G. Atrly,Human,Male,50,5578,7,7,3,3,2,9,Merchants,Merchant Marine,5,"Anglic Language 0, Animal Farming 1, Autocar Driving 1, Carousing 0, Energy 1, Jack of all Trades 0, Knife Fighting 3, Mechanical Training 1, Persuading 0, Reconnaissance 2, Spacecraft Piloting 1, Stealth 2, Submarine Helm 0, Survival Training 1, Telecomm 1, Trading 1, Vacc Suit Training 0",,Cr5000,Cr0,Cr10000
J1228,Utsathon,C,6,5,6,8,9,7,7,Ga Pa Ph,,7,Recovering,Corporal Perrk C. Ako,Human,Male,56,5572,3,7,8,6,A,9,Drifter,Scavenger,2,"Anglic Language 0, Animal Farming 0, Astrogating 1, Athletic Co-ord 2, Carousing 1, Chemisty 0, Companion 0, Deceiving 1, Energy Rifle 0, Jack of all Trades 1, Jumping 1, Knife Fighting 1, Life Support 1, Mechanical Training 0, Medical Training 1, Mole Trucking 0, Ortillery Gunnery 0, Reconnaissance 1, Remote Operating 1, Shotgun 1, Slug Pistol 0, Small Craft Piloting 1, Spacecraft Piloting 1, Streetwise 1, Telecomm 0, Vacc Suit Training 1, Zero-G Training 0","TAS Membership, 1 Ship Share",Cr0,Cr0,Cr0
P2938,Chrashimmon,B,7,8,8,4,7,6,A,Fa Ni Pa,A,6,Unusual Customs: Social Standings,Alsatdrady Imcarcimsa,Human,Female,51,5577,1,1,1,9,4,A,Drifter,Wanderer,0,"Administrating 0, Anglic Language 0, Astrogating 0, Athletic Co-ord 0, Athletic Endurance 0, Athletic Strength 1, Computer Training 0, Deceiving 0, Fist Fighting 1, Jack of all Trades 0, Jumping 0, Reconnaissance 2, Slug Pistol 1, Stealth 1, Streetwise 1, Survival Training 1, Zero-G Training 1",,Cr0,Cr59000,Cr0
N0935,Enrliton,B,5,0,0,1,0,5,D,Lo Va,,2,Unusual Customs: Travel,Ettelrk Urshely,Human,Female,52,5576,1,6,3,4,2,5,Drifter,Barbarian,0,"Anglic Language 0, Animal Riding 0, Athletic Co-ord 1, Athletic Endurance 1, Athletic Strength 0, Deceiving 0, Energy Rifle 0, Jack of all Trades 0, Jumping 1, Mechanical Training 0, Mole Trucking 1, Reconnaissance 2, Stealth 1, Streetwise 2, Survival Training 1, Tank Driving 1, Trading 0, Vacc Suit Training 0",Free Trader,Cr0,Cr18000,Cr0
